eventTimeUs,eventName,outcome,frameId,streamId,codec,keyFrame,largeFrame,chunkCount,receivedChunks,missingChunks,fecParityPackets,fecRecoveredChunks,nackCount,postNackReceivedChunks,nackRequestedChunks,retransmitReceivedChunks,retransmitDuplicatePackets,emergencyRepairReceivedChunks,emergencyRepairDuplicatePackets,lastPacketSequence,lastPacketChunkIndex,lastRetransmitSequence,lastRetransmitChunkIndex,eventPacketSequence,eventPacketChunkIndex,eventPacketWasRetransmit,eventPacketWasEmergencyRepair,recoveryExpireTimeUs,recoverySlackMs,lastUpdateTimeUs,lastUpdateAgeMs,recentArrivalIntervalMs,likelyArrivalSuppressionCount,likelyArrivalWindowHit,likelyArrivalRecentHit,likelyArrivalTightCadenceHit,likelyArrivalFecParityHit,likelyArrivalFecRecoverableHit,keyTinyLastChanceNackSent,keyTinyLastChanceMissingChunks,keyTinyLastChanceSlackMs,sendTimeUs,firstReceiveTimeUs,ageMs
620666040707,completed,completed,1,1,H.264,1,0,4,4,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,620666195245,154.538,620666040707,0,0.014,0,1,1,1,0,0,0,0,0,620666040245,620666040526,0.181
620666069981,completed,completed,2,1,H.264,1,0,3,3,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,620666224747,154.766,620666069981,0,0.018,0,1,1,1,0,0,0,0,0,620666069747,620666069904,0.077
620666110127,completed,completed,3,1,H.264,0,0,3,3,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,620666219949,109.822,620666110127,0,0.014,0,1,1,1,0,0,0,0,0,620666109949,620666110059,0.068
620666147011,completed,completed,4,1,H.264,0,0,3,3,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,620666256752,109.741,620666147011,0,0.03,0,1,1,1,0,0,0,0,0,620666146752,620666146885,0.126
620666192750,completed,completed,5,1,H.264,0,0,3,3,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,620666302538,109.788,620666192750,0,0.015,0,1,1,1,0,0,0,0,0,620666192538,620666192680,0.07
620666224044,completed,completed,6,1,H.264,0,0,3,3,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,620666333811,109.767,620666224044,0,0.012,0,1,1,1,0,0,0,0,0,620666223811,620666223983,0.061
620666269784,completed,completed,7,1,H.264,0,0,3,3,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,620666379583,109.799,620666269784,0,0.012,0,1,1,1,0,0,0,0,0,620666269583,620666269728,0.056
620666303819,completed,completed,8,1,H.264,0,0,3,3,0,0,0,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0,620666413544,109.725,620666303819,0,0.031,0,1,1,1,0,0,0,0,0,620666303544,620666303689,0.13
620666331088,completed,completed,9,1,H.264,0,0,3,3,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,620666440851,109.763,620666331088,0,0.065,0,1,1,1,0,0,0,0,0,620666330851,620666330977,0.111
620666379665,completed,completed,10,1,H.264,0,0,3,3,0,0,0,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,620666489383,109.718,620666379665,0,0.026,0,1,1,1,0,0,0,0,0,620666379383,620666379529,0.136
