eventTimeUs,eventName,outcome,frameId,streamId,codec,keyFrame,largeFrame,chunkCount,receivedChunks,missingChunks,fecParityPackets,fecRecoveredChunks,nackCount,postNackReceivedChunks,nackRequestedChunks,retransmitReceivedChunks,retransmitDuplicatePackets,emergencyRepairReceivedChunks,emergencyRepairDuplicatePackets,lastPacketSequence,lastPacketChunkIndex,lastRetransmitSequence,lastRetransmitChunkIndex,eventPacketSequence,eventPacketChunkIndex,eventPacketWasRetransmit,eventPacketWasEmergencyRepair,recoveryExpireTimeUs,recoverySlackMs,lastUpdateTimeUs,lastUpdateAgeMs,recentArrivalIntervalMs,likelyArrivalSuppressionCount,likelyArrivalWindowHit,likelyArrivalRecentHit,likelyArrivalTightCadenceHit,likelyArrivalFecParityHit,likelyArrivalFecRecoverableHit,keyTinyLastChanceNackSent,keyTinyLastChanceMissingChunks,keyTinyLastChanceSlackMs,sendTimeUs,firstReceiveTimeUs,ageMs
620641761941,fec-parity,pending,1,1,H.264,1,0,4,0,4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,620641752382,9.559,0,0,0,0,0,1,0,0,0,0,620641752382,620641761941,0
620641788111,nack-sent,pending,1,1,H.264,1,0,4,2,2,1,0,1,0,2,0,0,0,0,3,2,0,0,0,0,0,0,620641907382,119.271,620641788111,0,18.914,0,1,1,0,1,0,0,0,0,620641752382,620641761941,26.17
620641807438,fec-recovered,pending,1,1,H.264,1,0,4,4,0,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,620641907382,99.944,620641807438,0,19.327,0,1,1,0,1,0,0,0,0,620641752382,620641761941,45.497
620641807438,completed,completed,1,1,H.264,1,0,4,4,0,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,620641907382,99.944,620641807438,0,19.327,0,1,1,0,1,0,0,0,0,620641752382,620641761941,45.497
620641807438,nack-sent,pending,2,1,H.264,1,0,3,1,2,0,0,1,0,2,0,0,0,0,7,1,0,0,0,0,0,0,620641941981,134.543,620641794550,12.888,0,0,0,0,0,0,0,0,0,0,620641786981,620641794550,12.888
620641814006,retransmit-arrived,pending,2,1,H.264,1,0,3,1,2,0,0,1,1,2,1,0,1,0,12,0,12,0,12,0,1,1,620641941981,127.975,620641794550,19.456,0,0,0,0,0,0,0,0,0,0,620641786981,620641794550,19.456
620641814006,nack-sent-key-tiny-early,pending,2,1,H.264,1,0,3,2,1,0,0,2,1,3,1,0,1,0,12,0,12,0,0,0,0,0,620641941981,127.975,620641814006,0,19.456,0,1,1,0,0,0,0,0,0,620641786981,620641794550,19.456
620641827461,nack-sent-key-tiny-early,pending,2,1,H.264,1,0,3,2,1,0,0,3,1,4,1,0,1,0,6,0,12,0,0,0,0,0,620641941981,114.52,620641814006,13.455,19.456,0,0,0,0,0,0,0,0,0,620641786981,620641794550,32.911
620641827760,fec-parity,pending,2,1,H.264,1,0,3,2,1,1,0,3,1,4,1,0,1,0,6,0,12,0,0,0,0,0,620641941981,114.221,620641786981,40.779,19.456,0,1,0,0,1,1,0,0,0,620641786981,620641794550,33.21
620641827760,fec-recovered,pending,2,1,H.264,1,0,3,3,0,1,1,3,1,4,1,0,1,0,6,0,12,0,0,0,0,0,620641941981,114.221,620641827760,0,40.779,0,1,1,0,1,0,0,0,0,620641786981,620641794550,33.21
620641827760,completed,completed,2,1,H.264,1,0,3,3,0,1,1,3,1,4,1,0,1,0,6,0,12,0,0,0,0,0,620641941981,114.221,620641827760,0,40.779,0,1,1,0,1,0,0,0,0,620641786981,620641794550,33.21
620641840362,retransmit-late-after-completed,completed,1,1,H.264,1,0,4,4,0,0,0,1,0,2,0,0,0,0,10,0,10,0,10,0,1,1,620641907382,67.02,620641807438,32.924,19.327,0,1,1,0,1,0,0,0,0,620641752382,620641761941,78.421
620641852807,retransmit-late-after-completed,completed,1,1,H.264,1,0,4,4,0,0,0,1,0,2,0,0,0,0,11,3,11,3,11,3,1,1,620641907382,54.575,620641807438,45.369,19.327,0,1,1,0,1,0,0,0,0,620641752382,620641761941,90.866
620641853016,retransmit-late-after-completed,completed,2,1,H.264,1,0,3,3,0,0,0,3,0,1,1,0,1,0,13,2,13,2,13,2,1,1,620641941981,88.965,620641827760,25.256,40.779,0,1,1,0,1,0,0,0,0,620641786981,620641794550,58.466
620641865377,nack-sent,pending,3,1,H.264,1,0,3,1,2,0,0,1,0,2,0,0,0,0,16,2,0,0,0,0,0,0,620641983771,118.394,620641853197,12.18,0,0,0,0,0,0,0,0,0,0,620641828771,620641853197,12.18
620641872368,retransmit-duplicate,pending,3,1,H.264,1,0,3,2,1,0,0,1,1,2,0,1,0,1,18,0,18,0,18,0,1,1,620641983771,111.403,620641866094,6.274,12.897,0,1,1,0,0,0,0,0,0,620641828771,620641853197,19.171
620641872368,nack-sent-key-tiny-early,pending,3,1,H.264,1,0,3,2,1,0,0,2,1,3,0,1,0,1,18,0,18,0,0,0,0,0,620641983771,111.403,620641866094,6.274,12.897,0,1,1,0,0,0,0,0,0,620641828771,620641853197,19.171
620641878614,nack-sent-key-tiny-early,pending,3,1,H.264,1,0,3,2,1,0,0,3,1,4,0,1,0,1,18,0,18,0,0,0,0,0,620641983771,105.157,620641866094,12.52,12.897,0,0,0,0,0,0,0,0,0,620641828771,620641853197,25.417
620641894694,nack-sent-key-tiny-early,pending,4,1,H.264,1,0,3,2,1,0,0,1,0,1,0,0,0,0,20,0,0,0,0,0,0,0,620642020954,126.26,620641878952,15.742,0.338,0,1,0,1,0,0,0,0,0,620641865954,620641878614,16.08
620641909926,nack-sent-key-tiny-early,pending,4,1,H.264,1,0,3,2,1,0,0,2,0,2,0,0,0,0,20,0,0,0,0,0,0,0,620642020954,111.028,620641878952,30.974,0.338,0,1,0,1,0,0,0,0,0,620641865954,620641878614,31.312
620641923718,fec-parity,pending,4,1,H.264,1,0,3,2,1,1,0,2,0,2,0,0,0,0,20,0,0,0,0,0,0,0,620642020954,97.236,620641865954,57.764,0.338,0,1,0,1,1,1,0,0,0,620641865954,620641878614,45.104
620641923718,fec-recovered,pending,4,1,H.264,1,0,3,3,0,1,1,2,0,2,0,0,0,0,20,0,0,0,0,0,0,0,620642020954,97.236,620641923718,0,57.764,0,1,1,0,1,0,0,0,0,620641865954,620641878614,45.104
620641923718,completed,completed,4,1,H.264,1,0,3,3,0,1,1,2,0,2,0,0,0,0,20,0,0,0,0,0,0,0,620642020954,97.236,620641923718,0,57.764,0,1,1,0,1,0,0,0,0,620641865954,620641878614,45.104
620641924414,completed,completed,3,1,H.264,1,0,3,3,0,0,0,3,2,4,0,1,0,1,15,1,18,0,0,0,0,0,620641983771,59.357,620641924414,0,58.32,0,1,1,0,0,0,0,0,0,620641828771,620641853197,71.217
620641935201,nack-suppressed-fec-grace,pending,5,1,H.264,0,0,3,1,2,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,620642015661,80.46,620641909926,25.275,0,0,0,0,0,0,0,0,0,0,620641905661,620641909926,25.275
620641937377,retransmit-late-after-completed,completed,3,1,H.264,1,0,3,3,0,0,0,3,0,1,0,1,0,1,19,1,19,1,19,1,1,1,620641983771,46.394,620641924414,12.963,58.32,0,1,1,0,0,0,0,0,0,620641828771,620641853197,84.18
620641944036,nack-sent,pending,5,1,H.264,0,0,3,1,2,0,0,1,0,2,0,0,0,0,28,2,0,0,0,0,0,0,620642015661,71.625,620641909926,34.11,0,0,0,0,0,0,0,0,0,0,620641905661,620641909926,34.11
620641957419,fec-parity,pending,5,1,H.264,0,0,3,1,2,1,0,1,0,2,0,0,0,0,28,2,0,0,0,0,0,0,620642015661,58.242,620641905661,51.758,0,0,0,0,0,1,0,0,0,0,620641905661,620641909926,47.493
620641957649,fec-recovered,pending,5,1,H.264,0,0,3,3,0,1,1,1,1,2,0,0,0,0,27,1,0,0,0,0,0,0,620642015661,58.012,620641957649,0,0.23,0,1,1,1,1,0,0,0,0,620641905661,620641909926,47.723
620641957649,completed,completed,5,1,H.264,0,0,3,3,0,1,1,1,1,2,0,0,0,0,27,1,0,0,0,0,0,0,620642015661,58.012,620641957649,0,0.23,0,1,1,1,1,0,0,0,0,620641905661,620641909926,47.723
620641970962,retransmit-late-after-completed,completed,4,1,H.264,1,0,3,3,0,0,0,2,0,1,0,0,0,0,24,0,24,0,24,0,1,1,620642020954,49.992,620641923718,47.244,57.764,0,1,1,0,1,0,0,0,0,620641865954,620641878614,92.348
620642005554,nack-suppressed-fec-grace,pending,6,1,H.264,0,0,3,2,1,0,0,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0,620642060050,54.496,620642005554,0,27.991,0,1,1,0,0,0,0,0,0,620641950050,620641977563,27.991
620642012955,completed,completed,6,1,H.264,0,0,3,3,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,620642060050,47.095,620642012955,0,7.401,0,1,1,0,0,0,0,0,0,620641950050,620641977563,35.392
