eventTimeUs,eventName,outcome,frameId,streamId,codec,keyFrame,largeFrame,chunkCount,receivedChunks,missingChunks,fecParityPackets,fecRecoveredChunks,nackCount,postNackReceivedChunks,nackRequestedChunks,retransmitReceivedChunks,retransmitDuplicatePackets,emergencyRepairReceivedChunks,emergencyRepairDuplicatePackets,lastPacketSequence,lastPacketChunkIndex,lastRetransmitSequence,lastRetransmitChunkIndex,eventPacketSequence,eventPacketChunkIndex,eventPacketWasRetransmit,eventPacketWasEmergencyRepair,recoveryExpireTimeUs,recoverySlackMs,lastUpdateTimeUs,lastUpdateAgeMs,recentArrivalIntervalMs,likelyArrivalSuppressionCount,likelyArrivalWindowHit,likelyArrivalRecentHit,likelyArrivalTightCadenceHit,likelyArrivalFecParityHit,likelyArrivalFecRecoverableHit,keyTinyLastChanceNackSent,keyTinyLastChanceMissingChunks,keyTinyLastChanceSlackMs,sendTimeUs,firstReceiveTimeUs,ageMs
619297294346,nack-sent-key-tiny-early,pending,1,1,H.264,1,0,4,3,1,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,619297372235,77.889,619297294346,0,12.201,0,1,1,0,0,0,0,0,0,619297217235,619297281977,12.369
619297300351,nack-sent-key-tiny-early,pending,1,1,H.264,1,0,4,3,1,0,0,2,0,2,0,0,0,0,2,1,0,0,0,0,0,0,619297372235,71.884,619297294346,6.005,12.201,0,1,1,0,0,0,0,0,0,619297217235,619297281977,18.374
619297306598,completed,completed,1,1,H.264,1,0,4,4,0,0,0,2,1,2,0,0,0,0,3,2,0,0,0,0,0,0,619297372235,65.637,619297306598,0,12.252,0,1,1,0,0,0,0,0,0,619297217235,619297281977,24.621
619297317476,nack-sent,pending,2,1,H.264,1,0,3,1,2,0,0,1,0,2,0,0,0,0,8,2,0,0,0,0,0,0,619297412828,95.352,619297300351,17.125,0,0,0,0,0,0,0,0,0,0,619297257828,619297300351,17.125
619297327487,nack-sent,pending,2,1,H.264,1,0,3,1,2,0,0,2,0,4,0,0,0,0,8,2,0,0,0,0,0,0,619297412828,85.341,619297300351,27.136,0,0,0,0,0,0,0,0,0,0,619297257828,619297300351,27.136
619297337719,nack-sent,pending,2,1,H.264,1,0,3,1,2,0,0,3,0,6,0,0,0,0,8,2,0,0,0,0,0,0,619297412828,75.109,619297300351,37.368,0,0,0,0,0,0,0,0,0,0,619297257828,619297300351,37.368
619297342695,fec-parity,pending,2,1,H.264,1,0,3,1,2,1,0,3,0,6,0,0,0,0,8,2,0,0,0,0,0,0,619297412828,70.133,619297257828,84.867,0,0,0,0,0,1,0,0,0,0,619297257828,619297300351,42.344
619297342904,retransmit-late-after-completed,completed,1,1,H.264,1,0,4,4,0,0,0,2,0,1,0,0,0,0,10,1,10,1,10,1,1,1,619297372235,29.331,619297306598,36.306,12.252,0,1,1,0,0,0,0,0,0,619297217235,619297281977,60.927
619297349229,fec-recovered,pending,2,1,H.264,1,0,3,3,0,1,1,3,1,6,0,0,0,0,7,1,0,0,0,0,0,0,619297412828,63.599,619297349229,0,6.534,0,1,1,1,1,0,0,0,0,619297257828,619297300351,48.878
619297349229,completed,completed,2,1,H.264,1,0,3,3,0,1,1,3,1,6,0,0,0,0,7,1,0,0,0,0,0,0,619297412828,63.599,619297349229,0,6.534,0,1,1,1,1,0,0,0,0,619297257828,619297300351,48.878
619297356271,retransmit-late-after-completed,completed,1,1,H.264,1,0,4,4,0,0,0,2,0,1,0,0,0,0,11,2,11,2,11,2,1,1,619297372235,15.964,619297306598,49.673,12.252,0,1,1,0,0,0,0,0,0,619297217235,619297281977,74.294
619297374141,retransmit-late-after-completed,completed,2,1,H.264,1,0,3,3,0,0,0,3,0,2,0,0,0,0,12,0,12,0,12,0,1,1,619297412828,38.687,619297349229,24.912,6.534,0,1,1,1,1,0,0,0,0,619297257828,619297300351,73.79
619297397241,retransmit-late-after-completed,completed,2,1,H.264,1,0,3,3,0,0,0,3,0,2,0,0,0,0,13,1,13,1,13,1,1,1,619297412828,15.587,619297349229,48.012,6.534,0,1,1,1,1,0,0,0,0,619297257828,619297300351,96.89
619297397241,nack-sent,pending,5,1,H.264,1,0,4,2,2,0,0,1,0,2,0,0,0,0,20,1,0,0,0,0,0,0,619297528937,131.696,619297390606,6.635,6.323,0,1,1,1,0,0,0,0,0,619297373937,619297384283,12.958
619297405760,nack-sent,pending,4,1,H.264,1,0,4,1,3,0,0,1,0,3,0,0,0,0,15,1,0,0,0,0,0,0,619297483296,77.536,619297377550,28.21,0,0,0,0,0,0,0,0,0,0,619297328296,619297377550,28.21
619297405760,nack-sent-key-tiny-early,pending,5,1,H.264,1,0,4,3,1,0,0,2,1,3,0,0,0,0,19,0,0,0,0,0,0,0,619297528937,123.177,619297405760,0,15.154,0,1,1,0,0,0,0,0,0,619297373937,619297384283,21.477
619297412839,nack-sent-key-tiny-early,pending,5,1,H.264,1,0,4,3,1,0,0,3,1,4,0,0,0,0,19,0,0,0,0,0,0,0,619297528937,116.098,619297405760,7.079,15.154,0,0,0,0,0,0,0,0,0,619297373937,619297384283,28.556
619297418622,fec-parity,pending,4,1,H.264,1,0,4,2,2,1,0,1,1,3,0,0,0,0,16,2,0,0,0,0,0,0,619297483296,64.674,619297328296,90.326,35.289,0,0,0,0,1,0,0,0,0,619297328296,619297377550,41.072
619297418622,nack-sent,pending,4,1,H.264,1,0,4,2,2,1,0,2,1,5,0,0,0,0,16,2,0,0,0,0,0,0,619297483296,64.674,619297418622,0,90.326,0,1,1,0,1,0,0,0,0,619297328296,619297377550,41.072
619297419044,retransmit-duplicate,pending,5,1,H.264,1,0,4,3,1,0,0,3,1,4,0,1,0,1,24,0,24,0,24,0,1,1,619297528937,109.893,619297405760,13.284,15.154,0,0,0,0,0,0,0,0,0,619297373937,619297384283,34.761
619297426611,fec-recovered,pending,4,1,H.264,1,0,4,4,0,1,1,2,2,5,0,0,0,0,14,0,0,0,0,0,0,0,619297483296,56.685,619297426611,0,7.989,0,1,1,0,1,0,0,0,0,619297328296,619297377550,49.061
619297426611,completed,completed,4,1,H.264,1,0,4,4,0,1,1,2,2,5,0,0,0,0,14,0,0,0,0,0,0,0,619297483296,56.685,619297426611,0,7.989,0,1,1,0,1,0,0,0,0,619297328296,619297377550,49.061
619297441468,retransmit-arrived,pending,5,1,H.264,1,0,4,3,1,0,0,3,2,4,1,1,1,1,25,3,25,3,25,3,1,1,619297528937,87.469,619297405760,35.708,15.154,0,0,0,0,0,0,0,0,0,619297373937,619297384283,57.185
619297441468,completed,completed,5,1,H.264,1,0,4,4,0,0,0,3,2,4,1,1,1,1,25,3,25,3,0,0,0,0,619297528937,87.469,619297441468,0,35.708,0,1,1,0,0,0,0,0,0,619297373937,619297384283,57.185
619297461047,fec-parity,pending,7,1,H.264,0,0,3,0,3,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,619297453067,7.98,0,0,0,0,0,1,0,0,0,0,619297453067,619297461047,0
619297494968,nack-suppressed-fec-grace,pending,7,1,H.264,0,0,3,1,2,1,0,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0,619297563067,68.099,619297467775,27.193,6.728,0,1,0,1,1,0,0,0,0,619297453067,619297461047,33.921
619297494968,nack-suppressed-fec-grace,pending,6,1,H.264,0,0,3,2,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,619297528470,33.502,619297494968,0,33.687,0,1,1,0,0,0,0,0,0,619297418470,619297461281,33.687
619297501100,nack-deferred-likely-arrival,pending,7,1,H.264,0,0,3,1,2,1,0,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0,619297563067,61.967,619297467775,33.325,6.728,1,1,0,1,1,0,0,0,0,619297453067,619297461047,40.053
619297501100,nack-deferred-likely-arrival,pending,6,1,H.264,0,0,3,2,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,619297528470,27.37,619297494968,6.132,33.687,1,1,1,0,0,0,0,0,0,619297418470,619297461281,39.819
619297501798,completed,completed,6,1,H.264,0,0,3,3,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,619297528470,26.672,619297501798,0,6.83,1,1,1,1,0,0,0,0,0,619297418470,619297461281,40.517
619297511167,nack-deferred-likely-arrival,pending,7,1,H.264,0,0,3,1,2,1,0,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0,619297563067,51.9,619297467775,43.392,6.728,2,1,0,1,1,0,0,0,0,619297453067,619297461047,50.12
619297520578,fec-recovered,pending,7,1,H.264,0,0,3,3,0,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,619297563067,42.489,619297520578,0,52.803,2,1,1,0,1,0,0,0,0,619297453067,619297461047,59.531
619297520578,completed,completed,7,1,H.264,0,0,3,3,0,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,619297563067,42.489,619297520578,0,52.803,2,1,1,0,1,0,0,0,0,619297453067,619297461047,59.531
619297577696,nack-suppressed-fec-grace,pending,9,1,H.264,0,0,3,1,2,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,619297636554,58.858,619297535734,41.962,0,0,0,0,0,0,0,0,0,0,619297526554,619297535734,41.962
619297594036,completed,completed,8,1,H.264,0,0,3,3,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,619297611824,17.788,619297594036,0,32.453,0,1,1,0,0,0,0,0,0,619297501824,619297561469,32.567
619297594036,nack-sent,pending,9,1,H.264,0,0,3,1,2,0,0,1,0,2,0,0,0,0,39,1,0,0,0,0,0,0,619297636554,42.518,619297535734,58.302,0,0,0,0,0,0,0,0,0,0,619297526554,619297535734,58.302
619297620161,nack-sent,pending,9,1,H.264,0,0,3,2,1,0,0,2,1,3,0,0,0,0,38,0,0,0,0,0,0,0,619297636554,16.393,619297607796,12.365,72.062,0,0,0,0,0,0,0,0,0,619297526554,619297535734,84.427
619297620432,completed,completed,9,1,H.264,0,0,3,3,0,0,0,2,2,3,0,0,0,0,40,2,0,0,0,0,0,0,619297636554,16.122,619297620432,0,12.636,0,1,1,0,0,0,0,0,0,619297526554,619297535734,84.698
619297655947,nack-sent,pending,10,1,H.264,0,0,3,2,1,0,0,1,0,1,0,0,0,0,44,2,0,0,0,0,0,0,619297672051,16.104,619297639825,16.122,19.664,0,0,0,0,0,0,0,0,0,619297562051,619297620161,35.786
619297656366,completed,completed,10,1,H.264,0,0,3,3,0,0,0,1,1,1,0,0,0,0,42,0,0,0,0,0,0,0,619297672051,15.685,619297656366,0,16.541,0,1,1,0,0,0,0,0,0,619297562051,619297620161,36.205
619297669141,fec-parity,pending,12,1,H.264,0,1,26,7,19,1,0,0,0,0,0,0,0,0,68,18,0,0,0,0,0,0,619297779501,110.36,619297639501,29.64,6.253,0,1,0,1,1,0,0,0,0,619297639501,619297647478,21.663
619297676315,fec-parity,pending,12,1,H.264,0,1,26,12,14,2,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0,0,619297779501,103.186,619297639501,36.814,0.04,0,1,0,1,1,0,0,0,0,619297639501,619297647478,28.837
619297682311,fec-recovered,pending,12,1,H.264,0,1,26,14,12,2,1,0,0,0,0,0,0,0,64,14,0,0,0,0,0,0,619297779501,97.19,619297682311,0,5.996,0,1,1,1,1,0,0,0,0,619297639501,619297647478,34.833
619297682311,nack-sent,pending,12,1,H.264,0,1,26,14,12,2,1,1,0,12,0,0,0,0,64,14,0,0,0,0,0,0,619297779501,97.19,619297682311,0,5.996,0,1,1,1,1,0,0,0,0,619297639501,619297647478,34.833
619297682763,fec-recovered,pending,12,1,H.264,0,1,26,16,10,2,2,1,1,12,0,0,0,0,72,22,0,0,0,0,0,0,619297779501,96.738,619297682763,0,0.452,0,1,1,1,1,0,0,0,0,619297639501,619297647478,35.285
619297691242,completed,completed,11,1,H.264,0,0,3,3,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,619297705051,13.809,619297691242,0,2.492,0,1,1,1,0,0,0,0,0,619297595051,619297662743,28.499
619297700699,fec-parity,pending,12,1,H.264,0,1,26,18,8,3,2,1,3,12,0,0,0,0,58,8,0,0,0,0,0,0,619297779501,78.802,619297639501,61.198,0.2,0,1,0,1,1,1,0,0,0,619297639501,619297647478,53.221
619297700699,fec-recovered,pending,12,1,H.264,0,1,26,19,7,3,3,1,3,12,0,0,0,0,58,8,0,0,0,0,0,0,619297779501,78.802,619297700699,0,61.198,0,1,1,0,1,0,0,0,0,619297639501,619297647478,53.221
619297708542,nack-sent,pending,12,1,H.264,0,1,26,19,7,3,3,2,3,19,0,0,0,0,63,13,0,0,0,0,0,0,619297779501,70.959,619297700699,7.843,61.198,0,0,0,0,1,0,0,0,0,619297639501,619297647478,61.064
619297721257,fec-parity,pending,13,1,H.264,0,1,26,8,18,1,0,0,0,0,0,0,0,0,108,25,0,0,0,0,0,0,619297823396,102.139,619297683396,37.861,0.28,0,1,0,1,1,0,0,0,0,619297683396,619297691053,30.204
619297721257,nack-sent,pending,13,1,H.264,0,1,26,8,18,1,0,1,0,18,0,0,0,0,108,25,0,0,0,0,0,0,619297823396,102.139,619297721257,0,37.861,0,1,1,0,1,0,0,0,0,619297683396,619297691053,30.204
619297721743,fec-parity,pending,13,1,H.264,0,1,26,8,18,2,0,1,0,18,0,0,0,0,108,25,0,0,0,0,0,0,619297823396,101.653,619297683396,38.347,37.861,0,0,0,0,1,0,0,0,0,619297683396,619297691053,30.69
619297728029,fec-recovered,pending,13,1,H.264,0,1,26,12,14,2,1,1,3,18,0,0,0,0,90,7,0,0,0,0,0,0,619297823396,95.367,619297728029,0,0.157,0,1,1,1,1,0,0,0,0,619297683396,619297691053,36.976
619297732896,nack-suppressed-fec-grace,pending,12,1,H.264,0,1,26,24,2,3,3,2,8,19,0,0,0,0,54,4,0,0,0,0,0,0,619297779501,46.605,619297728276,4.62,0.306,0,1,1,1,1,0,0,0,0,619297639501,619297647478,85.418
