eventTimeUs,eventName,outcome,frameId,streamId,codec,keyFrame,largeFrame,chunkCount,receivedChunks,missingChunks,fecParityPackets,fecRecoveredChunks,nackCount,postNackReceivedChunks,nackRequestedChunks,retransmitReceivedChunks,retransmitDuplicatePackets,emergencyRepairReceivedChunks,emergencyRepairDuplicatePackets,lastPacketSequence,lastPacketChunkIndex,lastRetransmitSequence,lastRetransmitChunkIndex,eventPacketSequence,eventPacketChunkIndex,eventPacketWasRetransmit,eventPacketWasEmergencyRepair,recoveryExpireTimeUs,recoverySlackMs,lastUpdateTimeUs,lastUpdateAgeMs,recentArrivalIntervalMs,likelyArrivalSuppressionCount,likelyArrivalWindowHit,likelyArrivalRecentHit,likelyArrivalTightCadenceHit,likelyArrivalFecParityHit,likelyArrivalFecRecoverableHit,keyTinyLastChanceNackSent,keyTinyLastChanceMissingChunks,keyTinyLastChanceSlackMs,sendTimeUs,firstReceiveTimeUs,ageMs
619470463000,completed,completed,1425,1,H.264,0,1,21,21,0,4,4,2,9,17,0,0,0,0,40922,20,0,0,0,0,0,0,619470504094,41.094,619470463000,0,8.174,0,1,1,0,1,0,0,0,0,619470364094,619470369941,93.059
619470468068,fec-parity,pending,1426,1,H.264,0,1,21,14,7,4,2,1,0,7,0,0,0,0,40937,9,0,0,0,0,0,0,619470552795,84.727,619470412795,55.273,0.728,0,1,0,1,1,0,0,0,0,619470412795,619470414332,53.736
619470474370,fec-recovered,pending,1426,1,H.264,0,1,21,16,5,4,3,1,1,7,0,0,0,0,40939,11,0,0,0,0,0,0,619470552795,78.425,619470474370,0,6.302,0,1,1,1,1,0,0,0,0,619470412795,619470414332,60.038
619470480925,fec-parity,pending,1427,1,H.264,0,1,21,3,18,1,0,0,0,0,0,0,0,0,40969,15,0,0,0,0,0,0,619470591209,110.284,619470451209,29.716,12.764,0,0,0,0,1,0,0,0,0,619470451209,619470461424,19.501
619470481210,fec-parity,pending,1427,1,H.264,0,1,21,3,18,2,0,0,0,0,0,0,0,0,40969,15,0,0,0,0,0,0,619470591209,109.999,619470451209,30.001,29.716,0,0,0,0,1,0,0,0,0,619470451209,619470461424,19.786
619470481210,nack-sent,pending,1426,1,H.264,0,1,21,16,5,4,3,2,1,12,0,0,0,0,40939,11,0,0,0,0,0,0,619470552795,71.585,619470474370,6.84,6.302,0,1,1,1,1,0,0,0,0,619470412795,619470414332,66.878
619470506728,fec-recovered,pending,1427,1,H.264,0,1,21,8,13,2,1,0,0,0,0,0,0,0,40966,12,0,0,0,0,0,0,619470591209,84.481,619470506728,0,6.159,0,1,1,1,1,0,0,0,0,619470451209,619470461424,45.304
619470506728,nack-sent,pending,1426,1,H.264,0,1,21,18,3,4,3,3,3,15,0,0,0,0,40938,10,0,0,0,0,0,0,619470552795,46.067,619470495336,11.392,8.378,0,0,0,0,1,0,0,0,0,619470412795,619470414332,92.396
619470506728,nack-sent,pending,1427,1,H.264,0,1,21,8,13,2,1,1,0,13,0,0,0,0,40966,12,0,0,0,0,0,0,619470591209,84.481,619470506728,0,6.159,0,1,1,1,1,0,0,0,0,619470451209,619470461424,45.304
619470512806,fec-recovered,pending,1426,1,H.264,0,1,21,20,1,4,4,3,4,15,0,0,0,0,40928,0,0,0,0,0,0,0,619470552795,39.989,619470512806,0,17.47,0,1,1,0,1,0,0,0,0,619470412795,619470414332,98.474
619470519009,fec-recovered,pending,1427,1,H.264,0,1,21,13,8,2,2,1,4,13,0,0,0,0,40960,6,0,0,0,0,0,0,619470591209,72.2,619470519009,0,5.947,0,1,1,1,1,0,0,0,0,619470451209,619470461424,57.585
619470525431,fec-parity,pending,1428,1,H.264,0,1,21,6,15,1,0,0,0,0,0,0,0,0,40996,16,0,0,0,0,0,0,619470626779,101.348,619470486779,38.652,0.081,0,1,0,1,1,0,0,0,0,619470486779,619470494403,31.028
619470525647,completed,completed,1426,1,H.264,0,1,21,21,0,4,4,3,5,15,0,0,0,0,40948,20,0,0,0,0,0,0,619470552795,27.148,619470525647,0,12.841,0,1,1,0,1,0,0,0,0,619470412795,619470414332,111.315
619470526653,fec-parity,pending,1427,1,H.264,0,1,21,13,8,3,2,1,4,13,0,0,0,0,40960,6,0,0,0,0,0,0,619470591209,64.556,619470451209,75.444,5.947,0,1,0,1,1,0,0,0,0,619470451209,619470461424,65.229
619470526844,fec-parity,pending,1428,1,H.264,0,1,21,6,15,2,0,0,0,0,0,0,0,0,40996,16,0,0,0,0,0,0,619470626779,99.935,619470486779,40.065,38.652,0,0,0,0,1,0,0,0,0,619470486779,619470494403,32.441
619470526844,nack-sent,pending,1427,1,H.264,0,1,21,13,8,3,2,2,4,21,0,0,0,0,40960,6,0,0,0,0,0,0,619470591209,64.365,619470526653,0.191,75.444,0,1,1,0,1,0,0,0,0,619470451209,619470461424,65.42
619470527265,fec-parity,pending,1427,1,H.264,0,1,21,14,7,4,2,2,5,21,0,0,0,0,40972,18,0,0,0,0,0,0,619470591209,63.944,619470451209,76.056,0.527,0,1,0,1,1,0,0,0,0,619470451209,619470461424,65.841
619470538720,fec-parity,pending,1428,1,H.264,0,1,21,11,10,3,0,0,0,0,0,0,0,0,40998,18,0,0,0,0,0,0,619470626779,88.059,619470486779,51.941,0.061,0,1,0,1,1,1,0,0,0,619470486779,619470494403,44.317
619470538720,fec-recovered,pending,1428,1,H.264,0,1,21,12,9,3,1,0,0,0,0,0,0,0,40998,18,0,0,0,0,0,0,619470626779,88.059,619470538720,0,51.941,0,1,1,0,1,0,0,0,0,619470486779,619470494403,44.317
619470545606,fec-parity,pending,1428,1,H.264,0,1,21,12,9,4,1,0,0,0,0,0,0,0,40998,18,0,0,0,0,0,0,619470626779,81.173,619470486779,58.827,51.941,0,0,0,0,1,0,0,0,0,619470486779,619470494403,51.203
619470545606,nack-sent,pending,1428,1,H.264,0,1,21,12,9,4,1,1,0,9,0,0,0,0,40998,18,0,0,0,0,0,0,619470626779,81.173,619470545606,0,58.827,0,1,1,0,1,0,0,0,0,619470486779,619470494403,51.203
619470550237,nack-sent,pending,1427,1,H.264,0,1,21,18,3,4,2,3,9,24,0,0,0,0,40964,10,0,0,0,0,0,0,619470591209,40.972,619470550237,0,17.657,0,1,1,0,1,0,0,0,0,619470451209,619470461424,88.813
619470551903,fec-recovered,pending,1428,1,H.264,0,1,21,15,6,4,2,1,2,9,0,0,0,0,40983,3,0,0,0,0,0,0,619470626779,74.876,619470551903,0,5.795,0,1,1,1,1,0,0,0,0,619470486779,619470494403,57.5
619470552134,fec-recovered,pending,1427,1,H.264,0,1,21,20,1,4,3,3,10,24,0,0,0,0,40963,9,0,0,0,0,0,0,619470591209,39.075,619470552134,0,1.897,0,1,1,1,1,0,0,0,0,619470451209,619470461424,90.71
619470559650,fec-parity,pending,1427,1,H.264,0,1,21,20,1,5,3,3,10,24,0,0,0,0,40968,14,0,0,0,0,0,0,619470591209,31.559,619470451209,108.441,1.897,0,1,0,1,1,1,0,0,0,619470451209,619470461424,98.226
619470559650,fec-recovered,pending,1427,1,H.264,0,1,21,21,0,5,4,3,10,24,0,0,0,0,40968,14,0,0,0,0,0,0,619470591209,31.559,619470559650,0,108.441,0,1,1,0,1,0,0,0,0,619470451209,619470461424,98.226
619470559650,completed,completed,1427,1,H.264,0,1,21,21,0,5,4,3,10,24,0,0,0,0,40968,14,0,0,0,0,0,0,619470591209,31.559,619470559650,0,108.441,0,1,1,0,1,0,0,0,0,619470451209,619470461424,98.226
619470561366,fec-parity,pending,1429,1,H.264,0,1,21,2,19,1,0,0,0,0,0,0,0,0,41006,0,0,0,0,0,0,0,619470680923,119.557,619470540923,20.443,1.784,0,1,0,1,1,0,0,0,0,619470540923,619470559528,1.838
619470566314,fec-parity,pending,1428,1,H.264,0,1,21,15,6,5,2,1,2,9,0,0,0,0,40987,7,0,0,0,0,0,0,619470626779,60.465,619470486779,79.535,5.795,0,1,0,1,1,1,0,0,0,619470486779,619470494403,71.911
619470566314,fec-recovered,pending,1428,1,H.264,0,1,21,16,5,5,3,1,2,9,0,0,0,0,40987,7,0,0,0,0,0,0,619470626779,60.465,619470566314,0,79.535,0,1,1,0,1,0,0,0,0,619470486779,619470494403,71.911
619470566314,nack-sent,pending,1428,1,H.264,0,1,21,16,5,5,3,2,2,14,0,0,0,0,40987,7,0,0,0,0,0,0,619470626779,60.465,619470566314,0,79.535,0,1,1,0,1,0,0,0,0,619470486779,619470494403,71.911
619470573417,fec-recovered,pending,1428,1,H.264,0,1,21,18,3,5,4,2,3,14,0,0,0,0,40997,17,0,0,0,0,0,0,619470626779,53.362,619470573417,0,7.103,0,1,1,0,1,0,0,0,0,619470486779,619470494403,79.014
619470573665,fec-recovered,pending,1428,1,H.264,0,1,21,20,1,5,5,2,4,14,0,0,0,0,40991,11,0,0,0,0,0,0,619470626779,53.114,619470573665,0,0.248,0,1,1,1,1,0,0,0,0,619470486779,619470494403,79.262
619470587148,nack-suppressed-fec-grace,pending,1428,1,H.264,0,1,21,20,1,5,5,2,4,14,0,0,0,0,40988,8,0,0,0,0,0,0,619470626779,39.631,619470573665,13.483,0.248,0,1,0,1,1,0,0,0,0,619470486779,619470494403,92.745
619470591320,fec-parity,pending,1429,1,H.264,0,1,21,9,12,2,0,0,0,0,0,0,0,0,41025,19,0,0,0,0,0,0,619470680923,89.603,619470540923,50.397,0.05,0,1,0,1,1,0,0,0,0,619470540923,619470559528,31.792
