eventTimeUs,eventName,outcome,frameId,streamId,codec,keyFrame,largeFrame,chunkCount,receivedChunks,missingChunks,fecParityPackets,fecRecoveredChunks,nackCount,postNackReceivedChunks,nackRequestedChunks,retransmitReceivedChunks,retransmitDuplicatePackets,emergencyRepairReceivedChunks,emergencyRepairDuplicatePackets,lastPacketSequence,lastPacketChunkIndex,lastRetransmitSequence,lastRetransmitChunkIndex,eventPacketSequence,eventPacketChunkIndex,eventPacketWasRetransmit,eventPacketWasEmergencyRepair,recoveryExpireTimeUs,recoverySlackMs,lastUpdateTimeUs,lastUpdateAgeMs,recentArrivalIntervalMs,likelyArrivalSuppressionCount,likelyArrivalWindowHit,likelyArrivalRecentHit,likelyArrivalTightCadenceHit,likelyArrivalFecParityHit,likelyArrivalFecRecoverableHit,keyTinyLastChanceNackSent,keyTinyLastChanceMissingChunks,keyTinyLastChanceSlackMs,sendTimeUs,firstReceiveTimeUs,ageMs
619358121377,nack-sent,pending,1,1,H.264,1,0,4,1,3,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,619358236231,114.854,619358093296,28.081,0,0,0,0,0,0,0,0,0,0,619358081231,619358093296,28.081
619358124390,fec-parity,pending,2,1,H.264,1,0,3,0,3,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,619358112009,12.381,0,0,0,0,0,1,0,0,0,0,619358112009,619358124390,0
619358124635,retransmit-arrived,pending,1,1,H.264,1,0,4,1,3,0,0,1,1,3,1,0,0,0,11,2,11,2,11,2,1,0,619358236231,111.596,619358093296,31.339,0,0,0,0,0,0,0,0,0,0,619358081231,619358093296,31.339
619358130803,nack-sent,pending,1,1,H.264,1,0,4,2,2,0,0,2,1,5,1,0,0,0,3,2,11,2,0,0,0,0,619358236231,105.428,619358124635,6.168,31.339,0,1,1,0,0,0,0,0,0,619358081231,619358093296,37.507
619358142374,nack-sent,pending,1,1,H.264,1,0,4,2,2,0,0,3,1,7,1,0,0,0,3,2,11,2,0,0,0,0,619358236231,93.857,619358124635,17.739,31.339,0,0,0,0,0,0,0,0,0,619358081231,619358093296,49.078
619358142374,nack-sent,pending,2,1,H.264,1,0,3,1,2,1,0,1,0,2,0,0,0,0,6,0,0,0,0,0,0,0,619358267009,124.635,619358131068,11.306,6.678,0,1,0,1,1,0,0,0,0,619358112009,619358124390,17.984
619358143108,fec-parity,pending,1,1,H.264,1,0,4,2,2,1,0,3,1,7,1,0,0,0,3,2,11,2,0,0,0,0,619358236231,93.123,619358081231,61.877,31.339,0,0,0,0,1,0,0,0,0,619358081231,619358093296,49.812
619358150133,retransmit-arrived,pending,1,1,H.264,1,0,4,2,2,1,0,3,2,7,2,0,0,0,10,1,10,1,10,1,1,0,619358236231,86.098,619358143108,7.025,61.877,0,0,0,0,1,0,0,0,0,619358081231,619358093296,56.837
619358150133,fec-recovered,pending,1,1,H.264,1,0,4,4,0,1,1,3,2,7,2,0,0,0,10,1,10,1,0,0,0,0,619358236231,86.098,619358150133,0,7.025,0,1,1,0,1,0,0,0,0,619358081231,619358093296,56.837
619358150133,completed,completed,1,1,H.264,1,0,4,4,0,1,1,3,2,7,2,0,0,0,10,1,10,1,0,0,0,0,619358236231,86.098,619358150133,0,7.025,0,1,1,0,1,0,0,0,0,619358081231,619358093296,56.837
619358159999,nack-sent,pending,2,1,H.264,1,0,3,1,2,1,0,2,0,4,0,0,0,0,6,0,0,0,0,0,0,0,619358267009,107.01,619358131068,28.931,6.678,0,1,0,1,1,0,0,0,0,619358112009,619358124390,35.609
619358177517,nack-sent,pending,2,1,H.264,1,0,3,1,2,1,0,3,0,6,0,0,0,0,6,0,0,0,0,0,0,0,619358267009,89.492,619358131068,46.449,6.678,0,1,0,1,1,0,0,0,0,619358112009,619358124390,53.127
619358188257,retransmit-arrived,pending,2,1,H.264,1,0,3,1,2,1,0,3,1,6,1,0,1,0,13,1,13,1,13,1,1,1,619358267009,78.752,619358131068,57.189,6.678,0,1,0,1,1,0,0,0,0,619358112009,619358124390,63.867
619358188257,fec-recovered,pending,2,1,H.264,1,0,3,3,0,1,1,3,1,6,1,0,1,0,13,1,13,1,0,0,0,0,619358267009,78.752,619358188257,0,57.189,0,1,1,0,1,0,0,0,0,619358112009,619358124390,63.867
619358188257,completed,completed,2,1,H.264,1,0,3,3,0,1,1,3,1,6,1,0,1,0,13,1,13,1,0,0,0,0,619358267009,78.752,619358188257,0,57.189,0,1,1,0,1,0,0,0,0,619358112009,619358124390,63.867
619358210141,fec-parity,pending,3,1,H.264,1,0,3,0,3,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,619358143168,66.973,0,0,0,0,0,1,0,0,0,0,619358143168,619358210141,0
619358216666,retransmit-late-after-completed,completed,2,1,H.264,1,0,3,3,0,0,0,3,0,2,1,0,1,0,14,2,14,2,14,2,1,1,619358267009,50.343,619358188257,28.409,57.189,0,1,1,0,1,0,0,0,0,619358112009,619358124390,92.276
619358223402,fec-recovered,pending,3,1,H.264,1,0,3,3,0,1,1,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,619358298168,74.766,619358223402,0,6.494,0,1,1,1,1,0,0,0,0,619358143168,619358210141,13.261
619358223402,completed,completed,3,1,H.264,1,0,3,3,0,1,1,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,619358298168,74.766,619358223402,0,6.494,0,1,1,1,1,0,0,0,0,619358143168,619358210141,13.261
619358257098,nack-sent,pending,4,1,H.264,1,0,3,1,2,0,0,1,0,2,0,0,0,0,21,2,0,0,0,0,0,0,619358343112,86.014,619358242182,14.916,0,0,0,0,0,0,0,0,0,0,619358188112,619358242182,14.916
619358257838,fec-parity,pending,4,1,H.264,1,0,3,1,2,1,0,1,0,2,0,0,0,0,21,2,0,0,0,0,0,0,619358343112,85.274,619358188112,69.726,0,0,0,0,0,1,0,0,0,0,619358188112,619358242182,15.656
619358268209,fec-recovered,pending,4,1,H.264,1,0,3,3,0,1,1,1,1,2,0,0,0,0,20,1,0,0,0,0,0,0,619358343112,74.903,619358268209,0,10.371,0,1,1,0,1,0,0,0,0,619358188112,619358242182,26.027
619358268209,completed,completed,4,1,H.264,1,0,3,3,0,1,1,1,1,2,0,0,0,0,20,1,0,0,0,0,0,0,619358343112,74.903,619358268209,0,10.371,0,1,1,0,1,0,0,0,0,619358188112,619358242182,26.027
619358268209,nack-suppressed-fec-grace,pending,5,1,H.264,0,0,3,1,2,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,619358339580,71.371,619358242306,25.903,0,0,0,0,0,0,0,0,0,0,619358229580,619358242306,25.903
619358268918,retransmit-late-after-completed,completed,4,1,H.264,1,0,3,3,0,0,0,1,0,2,0,0,0,0,28,1,28,1,28,1,1,1,619358343112,74.194,619358268209,0.709,10.371,0,1,1,0,1,0,0,0,0,619358188112,619358242182,26.736
619358278525,nack-sent,pending,5,1,H.264,0,0,3,1,2,0,0,1,0,2,0,0,0,0,25,2,0,0,0,0,0,0,619358339580,61.055,619358242306,36.219,0,0,0,0,0,0,0,0,0,0,619358229580,619358242306,36.219
619358296492,retransmit-late-after-completed,completed,1,1,H.264,1,0,4,4,0,0,0,3,0,2,2,0,0,0,12,3,12,3,12,3,1,0,619358236231,-60.261,619358150133,146.359,7.025,0,1,1,0,1,0,0,0,0,619358081231,619358093296,203.196
619358306462,nack-sent,pending,5,1,H.264,0,0,3,1,2,0,0,2,0,4,0,0,0,0,25,2,0,0,0,0,0,0,619358339580,33.118,619358242306,64.156,0,0,0,0,0,0,0,0,0,0,619358229580,619358242306,64.156
619358307273,retransmit-late-after-completed,completed,4,1,H.264,1,0,3,3,0,0,0,1,0,2,0,0,0,0,27,0,27,0,27,0,1,1,619358343112,35.839,619358268209,39.064,10.371,0,1,1,0,1,0,0,0,0,619358188112,619358242182,65.091
619358311475,fec-parity,pending,6,1,H.264,0,0,3,1,2,1,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,619358367717,56.242,619358257717,53.758,0,0,0,0,0,1,0,0,0,0,619358257717,619358296734,14.741
619358324830,nack-suppressed-fec-grace,pending,6,1,H.264,0,0,3,1,2,1,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,619358367717,42.887,619358311475,13.355,53.758,0,0,0,0,1,0,0,0,0,619358257717,619358296734,28.096
619358331737,fec-recovered,pending,6,1,H.264,0,0,3,3,0,1,1,0,0,0,0,0,0,0,31,2,0,0,0,0,0,0,619358367717,35.98,619358331737,0,20.262,0,1,1,0,1,0,0,0,0,619358257717,619358296734,35.003
619358331737,completed,completed,6,1,H.264,0,0,3,3,0,1,1,0,0,0,0,0,0,0,31,2,0,0,0,0,0,0,619358367717,35.98,619358331737,0,20.262,0,1,1,0,1,0,0,0,0,619358257717,619358296734,35.003
619358331737,expired-no-slack,expired,5,1,H.264,0,0,3,2,1,0,0,2,1,4,0,0,0,0,24,1,0,0,0,0,0,0,619358339580,7.843,619358318342,13.395,76.036,0,0,0,0,0,0,0,0,0,619358229580,619358242306,89.431
619358353323,fec-parity,pending,7,1,H.264,0,0,3,1,2,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,619358417101,63.778,619358307101,46.222,0,0,0,0,0,1,0,0,0,0,619358307101,619358324830,28.493
619358360396,nack-suppressed-fec-grace,pending,7,1,H.264,0,0,3,1,2,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,619358417101,56.705,619358353323,7.073,46.222,0,0,0,0,1,0,0,0,0,619358307101,619358324830,35.566
619358360621,fec-recovered,pending,7,1,H.264,0,0,3,3,0,1,1,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,619358417101,56.48,619358360621,0,7.298,0,1,1,0,1,0,0,0,0,619358307101,619358324830,35.791
619358360621,completed,completed,7,1,H.264,0,0,3,3,0,1,1,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,619358417101,56.48,619358360621,0,7.298,0,1,1,0,1,0,0,0,0,619358307101,619358324830,35.791
619358435646,fec-parity,pending,8,1,H.264,0,0,3,1,2,1,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,619358447692,12.046,619358337692,97.954,0,0,0,0,0,1,0,0,0,0,619358337692,619358400247,35.399
619358435646,nack-sent,pending,8,1,H.264,0,0,3,1,2,1,0,1,0,2,0,0,0,0,38,1,0,0,0,0,0,0,619358447692,12.046,619358435646,0,97.954,0,1,1,0,1,0,0,0,0,619358337692,619358400247,35.399
619358443571,expired-no-slack,expired,8,1,H.264,0,0,3,1,2,1,0,1,0,2,0,0,0,0,38,1,0,0,0,0,0,0,619358447692,4.121,619358435646,7.925,97.954,0,0,0,0,1,0,0,0,0,619358337692,619358400247,43.324
619358481351,expired-no-slack,expired,9,1,H.264,0,0,3,1,2,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,0,619358491860,10.509,619358443571,37.78,0,0,0,0,0,0,0,0,0,0,619358381860,619358443571,37.78
619358484416,fec-parity,pending,10,1,H.264,0,0,3,1,2,1,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,619358530943,46.527,619358420943,63.473,0,0,0,0,0,1,0,0,0,0,619358420943,619358457383,27.033
619358496717,nack-suppressed-fec-grace,pending,10,1,H.264,0,0,3,1,2,1,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,619358530943,34.226,619358484416,12.301,63.473,0,0,0,0,1,0,0,0,0,619358420943,619358457383,39.334
619358506639,nack-sent,pending,10,1,H.264,0,0,3,1,2,1,0,1,0,2,0,0,0,0,46,1,0,0,0,0,0,0,619358530943,24.304,619358484416,22.223,63.473,0,0,0,0,1,0,0,0,0,619358420943,619358457383,49.256
619358507450,fec-parity,pending,12,1,H.264,0,1,26,4,22,1,0,0,0,0,0,0,0,0,70,17,0,0,0,0,0,0,619358631975,124.525,619358491975,15.475,0.256,0,1,0,1,1,0,0,0,0,619358491975,619358497269,10.181
619358521381,expired-no-slack,expired,10,1,H.264,0,0,3,1,2,1,0,1,0,2,0,0,0,0,46,1,0,0,0,0,0,0,619358530943,9.562,619358484416,36.965,63.473,0,0,0,0,1,0,0,0,0,619358420943,619358457383,63.998
619358532846,nack-sent,pending,12,1,H.264,0,1,26,6,20,1,0,1,0,20,0,0,0,0,63,10,0,0,0,0,0,0,619358631975,99.129,619358526350,6.496,13.187,0,1,1,0,1,0,0,0,0,619358491975,619358497269,35.577
619358539370,fec-recovered,pending,12,1,H.264,0,1,26,10,16,1,1,1,3,20,0,0,0,0,68,15,0,0,0,0,0,0,619358631975,92.605,619358539370,0,6.097,0,1,1,1,1,0,0,0,0,619358491975,619358497269,42.101
619358539654,fec-parity,pending,11,1,H.264,0,0,3,1,2,1,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,619358581857,42.203,619358471857,67.797,0,0,0,0,0,1,0,0,0,0,619358471857,619358532846,6.808
619358555768,nack-sent,pending,12,1,H.264,0,1,26,14,12,1,1,2,7,32,0,0,0,0,54,1,0,0,0,0,0,0,619358631975,76.207,619358549002,6.766,5.287,0,1,1,1,1,0,0,0,0,619358491975,619358497269,58.499
619358556089,fec-recovered,pending,11,1,H.264,0,0,3,3,0,1,1,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,619358581857,25.768,619358556089,0,16.435,0,1,1,0,1,0,0,0,0,619358471857,619358532846,23.243
619358556089,completed,completed,11,1,H.264,0,0,3,3,0,1,1,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,619358581857,25.768,619358556089,0,16.435,0,1,1,0,1,0,0,0,0,619358471857,619358532846,23.243
619358561688,fec-parity,pending,12,1,H.264,0,1,26,15,11,2,1,2,8,32,0,0,0,0,59,6,0,0,0,0,0,0,619358631975,70.287,619358491975,69.713,10.227,0,0,0,0,1,0,0,0,0,619358491975,619358497269,64.419
619358566198,fec-parity,pending,12,1,H.264,0,1,26,16,10,3,1,2,9,32,0,0,0,0,56,3,0,0,0,0,0,0,619358631975,65.777,619358491975,74.223,0.289,0,1,0,1,1,1,0,0,0,619358491975,619358497269,68.929
619358566198,fec-recovered,pending,12,1,H.264,0,1,26,17,9,3,2,2,9,32,0,0,0,0,56,3,0,0,0,0,0,0,619358631975,65.777,619358566198,0,74.223,0,1,1,0,1,0,0,0,0,619358491975,619358497269,68.929
619358566819,fec-parity,pending,13,1,H.264,0,1,26,4,22,1,0,0,0,0,0,0,0,0,97,11,0,0,0,0,0,0,619358683185,116.366,619358543185,23.634,0.838,0,1,0,1,1,0,0,0,0,619358543185,619358549072,17.747
619358567032,fec-parity,pending,12,1,H.264,0,1,26,17,9,4,2,2,9,32,0,0,0,0,56,3,0,0,0,0,0,0,619358631975,64.943,619358491975,75.057,74.223,0,0,0,0,1,0,0,0,0,619358491975,619358497269,69.763
619358580728,fec-parity,pending,13,1,H.264,0,1,26,4,22,2,0,0,0,0,0,0,0,0,97,11,0,0,0,0,0,0,619358683185,102.457,619358543185,37.543,23.634,0,0,0,0,1,0,0,0,0,619358543185,619358549072,31.656
619358580728,nack-sent,pending,12,1,H.264,0,1,26,18,8,4,2,3,10,40,0,0,0,0,75,22,0,0,0,0,0,0,619358631975,51.247,619358575648,5.08,8.616,0,1,1,0,1,0,0,0,0,619358491975,619358497269,83.459
619358580728,nack-sent,pending,13,1,H.264,0,1,26,4,22,2,0,1,0,22,0,0,0,0,97,11,0,0,0,0,0,0,619358683185,102.457,619358580728,0,37.543,0,1,1,0,1,0,0,0,0,619358543185,619358549072,31.656
619358587660,fec-parity,pending,13,1,H.264,0,1,26,5,21,3,0,1,1,22,0,0,0,0,86,0,0,0,0,0,0,0,619358683185,95.525,619358543185,44.475,6.437,0,1,0,1,1,0,0,0,0,619358543185,619358549072,38.588
619358588010,fec-recovered,pending,13,1,H.264,0,1,26,9,17,3,1,1,4,22,0,0,0,0,96,10,0,0,0,0,0,0,619358683185,95.175,619358588010,0,0.059,0,1,1,1,1,0,0,0,0,619358543185,619358549072,38.938
619358594557,fec-parity,pending,13,1,H.264,0,1,26,10,16,4,1,1,5,22,0,0,0,0,107,21,0,0,0,0,0,0,619358683185,88.628,619358543185,51.372,6.307,0,1,0,1,1,1,0,0,0,619358543185,619358549072,45.485
619358594557,fec-recovered,pending,13,1,H.264,0,1,26,11,15,4,2,1,5,22,0,0,0,0,107,21,0,0,0,0,0,0,619358683185,88.628,619358594557,0,51.372,0,1,1,0,1,0,0,0,0,619358543185,619358549072,45.485
619358601791,nack-sent,pending,13,1,H.264,0,1,26,11,15,4,2,2,5,37,0,0,0,0,107,21,0,0,0,0,0,0,619358683185,81.394,619358594557,7.234,51.372,0,0,0,0,1,0,0,0,0,619358543185,619358549072,52.719
619358602213,fec-parity,pending,12,1,H.264,0,1,26,24,2,5,2,3,16,40,0,0,0,0,73,20,0,0,0,0,0,0,619358631975,29.762,619358491975,110.238,6.491,0,1,0,1,1,0,0,0,0,619358491975,619358497269,104.944
619358602377,fec-parity,pending,13,1,H.264,0,1,26,12,14,5,2,2,6,37,0,0,0,0,100,14,0,0,0,0,0,0,619358683185,80.808,619358543185,59.192,7.604,0,0,0,0,1,0,0,0,0,619358543185,619358549072,53.305
619358607871,nack-sent,pending,14,1,H.264,0,1,26,6,20,0,0,1,0,20,0,0,0,0,122,3,0,0,0,0,0,0,619358701516,93.645,619358607871,0,5.295,0,1,1,1,0,0,0,0,0,619358561516,619358575496,32.375
619358615445,fec-parity,pending,13,1,H.264,0,1,26,13,13,6,2,2,7,37,0,0,0,0,88,2,0,0,0,0,0,0,619358683185,67.74,619358543185,72.26,0.153,0,1,0,1,1,1,0,0,0,619358543185,619358549072,66.373
